descricao,ISO,VERSAO,IDIOMA
Industrial automation systems and integration — Product data representation and exchange — Part 508: Application interpreted construct: Non-manifold surface,ISO 10303-508,2001,en
Road vehicles — Video communication interface for cameras (VCIC) — Part 3: Camera message dictionary,ISO 17215-3,2021,en
Smart community infrastructures — Smart transportation for parking lot allocation in cities,ISO 37163,2020,en
Geographic information — Geodetic register,ISO 19127,2019,en
Gas analysis — Preparation of calibration gas mixtures — Part 2: Gravimetric method for Class II mixtures,ISO/DIS 6142-2,,en
Aerospace series — Hydraulic filter elements — Test methods — Part 4: Verification of collapse/burst pressure rating,ISO 14085-4,2015,en
Non-destructive testing — Gamma ray scanning method on process columns,ISO 23159,2020,en
Ships and marine technology — Grab dredger supervisory and control systems,ISO 20663,2020,en
"Health Informatics — HL7 Electronic Health Records-System Functional Model, Release 2 (EHR FM)",ISO/HL7 10781,2015,en
Soil quality — Determination of the toxic effects of pollutants on germination and early growth of higher plants,ISO 18763,2016,en
Health informatics — Use of mobile wireless communication and computing technology in healthcare facilities — Recommendations for electromagnetic compatibility (management of unintentional electromagnetic interference) with medical devices,ISO/TR 21730,2007,en
Aseptic processing of health care products — Part 7: Alternative processes for medical devices and combination products,ISO 13408-7,2012,en
Paper — Cut-size office paper — Measurement of edge quality,ISO 22414,2004,en
Industrial automation systems and integration — Integration of life-cycle data for process plants including oil and gas production facilities — Part 1: Overview and fundamental principles,ISO 15926-1,2004,en
"Aerospace — Nuts, barrel, self-locking, floating, self-aligning, with MJ threads, classifications: 900 MPa (at ambient temperature) / 235 degrees C, 1100 MPa (at ambient temperature) / 235 degrees C, 1250 MPa (at ambient temperature) / 235 degrees C and 1550 MPa (at ambient temperature) / 235 degrees C — Dimensions",ISO 12278,1999,en
"Water quality — Determination of selected parameters by discrete analysis systems — Part 2: Chromium(VI), fluoride, total alkalinity, total hardness, calcium, magnesium, iron, iron(II), manganese and aluminium with photometric detection",ISO/TS 15923-2,2017,en
Ships and marine technology — Marine facsimile receivers for meteorological charts,ISO 9876,2015,en
Pneumatic handling appliances for loose bulk materials — Piping,ISO 2327,1972,en
"Soil quality — Sampling — Part 105: Packaging, transport, storage and preservation of samples",ISO 18400-105,2017,en
Paints and varnishes — Determination of film thickness,ISO 2808,2019,en
"Finishing reamers for Morse and metric tapers, with cylindrical shanks and Morse taper shanks",ISO 2250,2017,en
Ferrotungsten — Specification and conditions of delivery,ISO 5450,1980,en
Essential oil of tarragon (Artemisia dracunculus L.),ISO 10115,2013,en
"Hydraulic fluid power — Four-screw, one-piece square flange connections for use at pressures of 42 MPa, DN 25 to 80",ISO 6164,2018,en
Metallic coatings for electromagnetic interference shielding — Designation and characterization method,ISO 7582,2023,en
Plastics — Film and sheeting — Determination of wetting tension,ISO 8296,2003,en
Information technology — Open Systems Interconnection — Structure of management information: Definition of management information — Part 2,ISO/IEC 10165-2,1992,en
Road vehicles — Vehicle dynamics test methods — Part 3: General conditions for passenger cars ride comfort tests,ISO 15037-3,2022,en
Rubber and plastics — Analysis of multi-peak traces obtained in determinations of tear strength and adhesion strength,ISO 6133,2015,en
Plastics — Film and sheeting — Determination of blocking resistance,ISO 11502,2018,en
"Gas turbines — Procurement — Part 9: Reliability, availability, maintainability and safety",ISO 3977-9,1999,en
Thermal insulating products for building applications — Determination of thickness for floating-floor insulating products,ISO 29770,2022,en
Intelligent transport systems — Cooperative ITS — Dictionary of in-vehicle information (IVI) data structures,ISO/TS 19321,2020,en
Rolling bearings — Measuring methods for vibration — Part 4: Radial cylindrical roller bearings with cylindrical bore and outside surface,ISO 15242-4,2017,en
Short machine taps and hand taps,ISO 529,2017,en
Corrosion of metals and alloys — Stress corrosion testing — Part 12: Requirements for atmospheric stress corrosion cracking testing,ISO/DIS 7539-12,,en
Technical product documentation — Simplified representation of pipelines — Part 1: General rules and orthogonal representation,ISO 6412-1,2017,en
Paints and varnishes — Determination of volatile organic compound (VOC) — Gas-chromatographic method with headspace injection for VOC determination,ISO/DIS 17895,,en
Paints and varnishes — Coating materials and coating systems for exterior wood — Natural weathering test,ISO 16053,2022,en
Graphical symbols — Safety colours and safety signs — Part 1: Design principles for safety signs and safety markings,ISO 3864-1,2011,en
Protective clothing — Protection against chemicals — Determination of resistance of protective clothing materials to permeation by liquids and gases,ISO 6529,2013,en
Photography — Photographic-grade chemicals — Test methods — Part 1: General,ISO 10349-1,2002,en
Compressed air — Contaminant measurement — Part 4: Particle content,ISO 8573-4,2019,en
Aggregates for concrete — Test methods for mechanical and physical properties — Part 4: Determination of ten percent fines value (TFV),ISO 20290-4,2019,en
Ships and marine technology — Measurement of changes in hull and propeller performance — Part 2: Default method,ISO 19030-2,2016,en
Information technology — Biometric data interchange formats — Part 13: Voice data,ISO/IEC 19794-13,2018,en
Binders for paints and varnishes — Determination of the non-volatile-matter content of aqueous rosin-resin dispersions — Part 2: Microwave method,ISO 16482-2,2013,en
"Air cargo — Fire containment covers — Design, performance and testing requirements",ISO 14186,2013,en
Forced draught gas burners,ISO 22967,2010,en
Application of ubiquitous public access to-geographic information to an air quality information service,ISO/TR 19167,2019,en
Cosmetics — Calculation of organic indexes of hydrolates — Supplemental information for ISO 16128-2,ISO/TR 23199,2019,en
"Countersinks, 90°, with Morse taper shanks and detachable pilots",ISO 4204,2016,en
Corrosion of metals and alloys — Method for determination of the uniform corrosion rate of stainless steels and nickel based alloys in liquids,ISO 18069,2015,en
Earth-moving machinery — Safety — Part 5: Requirements for hydraulic excavators,ISO 20474-5,2017,en
Plain bearings — Thermoplastic bushes — Dimensions and tolerances,ISO 16287,2021,en
Microbiology of the food chain — Horizontal method for the enumeration of beta-glucuronidase-positive Escherichia coli — Part 3: Detection and most probable number technique using 5-bromo-4-chloro-3-indolyl-ß-D-glucuronide,ISO 16649-3,2015,en
Information technology — Framework for internationalization,ISO/IEC TR 11017,1998,en
"Plastics — Determination of thermal stability of poly(vinyl chloride), related chlorine-containing homopolymers and copolymers and their compounds — Discoloration method",ISO 305,2019,en
Rubber hoses for automotive turbochargers — Specification,ISO 17324,2014,en
Information technology — Specification for a data descriptive file for information interchange,ISO/IEC 8211,1994,en
Cycles — Lighting and retro-reflective devices — Part 4: Lighting systems powered by the cycle's movement,ISO 6742-4,2015,en
Non-destructive testing — Metal magnetic memory — Part 2: Inspection of welded joints,ISO 24497-2,2020,en
"Wrought aluminium and aluminium alloys — Cold-drawn rods/bars, tubes and wires — Part 4: Tolerances on form and dimensions for drawn rectangular bars and wires",ISO 6363-4,2022,en
Cosmetics — Analytical method — Detection and quantitative determination of Diethanolamine (DEA) by GC/MS,ISO/TR 18818,2017,en
Greenhouse gases — Quantification and reporting of greenhouse gas emissions for organizations — Guidance for the application of ISO 14064-1,ISO/TR 14069,2013,en
Quality requirements for fusion welding of metallic materials — Part 4: Elementary quality requirements,ISO 3834-4,2021,en
Natural gas — Determination of sulfur compounds — Determination of total sulfur by oxidative microcoulometry method,ISO 16960,2014,en
Adventure tourism — Good practices for sustainability — Requirements and recommendations,ISO 20611,2018,en
Water quality — Determination of sulfates — Method by continuous flow analysis (CFA),ISO 22743,2006,en
Information technology — Implementation and operation of customer premises cabling — Part 4: Measurement of end-to-end (E2E)-Links,ISO/IEC 14763-4,2021,en
Rubber materials — Chemical resistance,ISO/TR 7620,2005,en
Glass in building — Determination of the bending strength of glass — Part 3: Test with specimen supported at two points (four point bending),ISO 1288-3,2016,en
Slotted cheese head screws — Product grade A,ISO 1207,2011,en
Earth-moving machinery — Auxiliary starting aid electrical connector,ISO 11862,1993,en
Sterilization of health care products — Radiation — Part 4: Guidance on process control,ISO/TS 11137-4,2020,en
Translation services — Requirements for translation services,ISO 17100,2015,en
Ships and marine technology — Maintenance and testing to reduce losses in critical systems for propulsion,ISO 13613,2011,en
"Aircraft equipment — Environmental and operating conditions for airborne equipment — Humidity, temperature and pressure tests",ISO 9662,1994,en
Paints and varnishes — Determination of density — Part 1: Pycnometer method,ISO 2811-1,2023,en
Health informatics — Categorial structure for representation of traditional Chinese medicine clinical decision support system,ISO/TS 5346,2022,en
Surface active agents — Determination of interfacial tension by drawing up liquid films,ISO 6889,1986,en
Ships and marine technology — Marine cranes — Operation and maintenance requirements,ISO 21132,2019,en
Fire detection and fire alarm systems — Part 17: Transmission path isolators,ISO 7240-17,2020,en
Information technology — Automatic identification and data capture techniques — Unique identification — Part 2: Registration procedures,ISO/IEC 15459-2,2015,en
Dehydrated tarragon (Artemisia dracunculus Linnaeus) — Specification,ISO 7926,1991,en
Cards and security devices for personal identification — Test methods — Part 1: General characteristics,ISO/IEC 10373-1,2020,en
Improving transparency in financial and business reporting — Harmonization topics — Part 2: Guidelines for data point modelling,ISO 5116-2,2021,en
Milk and milk products — Determination of lead content — Graphite furnace atomic absorption spectrometric method,ISO/TS 6733,2006,en
"Fine ceramics (advanced ceramics, advanced technical ceramics) — Thermophysical properties of ceramic composites — Determination of specific heat capacity",ISO 19628,2017,en
Comparison of worldwide lift safety standards — Part 1: Electric lifts (elevators),ISO/TR 11071-1,2004,en
"Rubber, vulcanized or thermoplastic — Determination of resistance to abrasion using a driven, vertical abrasive disc",ISO 23233,2016,en
Belt drives — Pulleys and V-ribbed belts for the automotive industry — PK profile: Dimensions,ISO 9981,2020,en
Determination of the resistance to cryogenic spillage of insulation materials — Part 1: Liquid phase,ISO 20088-1,2016,en
Biotechnology — Biobanking — Requirements for human mesenchymal stromal cells derived from bone marrow,ISO 24651,2022,en
Automated liquid handling systems — Part 1: Vocabulary and general requirements,ISO 23783-1,2022,en
Surface active agents — Measurement of foaming power — Modified Ross-Miles method,ISO 696,1975,en
Prefilled syringes — Part 7: Packaging systems for sterilized subassembled syringes ready for filling,ISO 11040-7,2015,en
Optics and optical instruments — Specifications for astronomical telescopes,ISO 14134,2006,en
Manganese ores and concentrates — Determination of nickel content — Dimethylglyoxime spectrometric method and flame atomic absorption spectrometric method,ISO 315,1984,en
Cycles — Screw threads used in bottom bracket assemblies,ISO 6696,1989,en
"Tissue paper and tissue products — Part 3: Determination of thickness, bulking thickness and apparent bulk density and bulk",ISO 12625-3,2014,en
Agricultural vehicles — Steering systems for agricultural trailers — Interface for articulated steering device of semi-mounted trailers,ISO 26402,2008,en
"Welding consumables — Covered electrodes — Determination of the efficiency, metal recovery and deposition coefficient",ISO 2401,2018,en
Water quality — Detection and enumeration of Pseudomonas aeruginosa — Method by membrane filtration,ISO 16266,2006,en
Road vehicles — Brake linings — Seizure to ferrous mating surface due to corrosion — Test procedure,ISO 6315,1980,en
Lactose — Determination of water content — Karl Fischer method,ISO 12779,2011,en
Health informatics — Personal health device communication — Part 10442: Device specialization — Strength fitness equipment,ISO/IEEE 11073-10442,2015,en
Aluminium oxide primarily used for the production of aluminium — Determination of fluorine content — Alizarin complexone and lanthanum chloride spectrophotometric method,ISO 2828,1973,en
"General methods of test for pigments and extenders — Part 13: Determination of water-soluble sulphates, chlorides and nitrates",ISO 787-13,2019,en
Aluminium alloy gas cylinders — Operational requirements for avoidance of neck and shoulder cracks,ISO 13770,1997,en
Preparation of steel substrates before application of paints and related products — Surface preparation methods — Part 3: Hand- and power-tool cleaning,ISO 8504-3,2018,en
Performance guidelines for design of concrete structures using fibre-reinforced polymer (FRP) materials,ISO 14484,2020,en
"Fruits, vegetables and derived products — Determination of cadmium content — Part 1: Method using graphite furnace atomic absorption spectrometry",ISO 6561-1,2005,en
"Condition monitoring and diagnostics of machines — Data processing, communication and presentation — Part 1: General guidelines",ISO 13374-1,2003,en
Test conditions for pillar type vertical drilling machines — Testing of the accuracy,ISO/DIS 2773,,en
"Small craft — Electrical devices — Established practices for the design, construction and installation of lightning-protection systems",ISO/TR 10134,2020,en
Injection containers and accessories — Part 4: Injection vials made of moulded glass,ISO 8362-4,2011,en
Fireworks — Category 4 — Part 3: Test methods,ISO 26261-3,2017,en
Marine environment impact assessment (MEIA) — Specification for marine sediments in seabed areas — Survey of interstitial biota,ISO 23040,2021,en
Road vehicles — Open Test sequence eXchange format (OTX) — Part 1: General information and use cases,ISO 13209-1,2011,en
Milk and milk products — Determination of residues of organochlorine compounds (pesticides) — Part 2: Test methods for crude extract purification and confirmation,ISO 3890-2,2009,en
Industrial trucks — Specifications for indicator lights for container handling and grappler arm operations,ISO 15871,2019,en
Information technology — Cloud computing — Service level agreement (SLA) framework — Part 3: Core conformance requirements,ISO/IEC 19086-3,2017,en
"Paper, board and graphic technology — Determination of the coating strength in the inner fold",ISO/TS 23885,2022,en
Agricultural vehicles — Mechanical connections between towed and towing vehicles — Part 1: Dimensions of hitch-hooks,ISO 6489-1,2001,en
Software and Systems Engineering — Lifecycle Processes — Framework for Product Quality Achievement,ISO/IEC TS 30103,2015,en
Socket wrenches for spark- and glow-plugs,ISO 11168,1995,en
Building construction machinery and equipment — Concrete pumps — Part 1: Terminology and commercial specifications,ISO 21573-1,2014,en
Leather — Crust full chrome upper leather — Specifications and test methods,ISO 20940,2021,en
Vacuum gauges — Definitions and specifications for quadrupole mass spectrometers,ISO 14291,2012,en
Guidelines for the evaluation of uncertainty of measurement in air conditioner and heat pump cooling and heating capacity tests,ISO/TS 16491,2012,en
Iron ores — Guidelines for the use of certified reference materials (CRMs),ISO 16042,2007,en
Information technology — Electronic discovery — Part 4: Technical readiness,ISO/IEC 27050-4,2021,en
Cranes — Crane operating manual — Part 2: Mobile cranes,ISO 9928-2,2014,en
Textile machinery and accessories — Drop wires for warp stop motions for weaving machines without automatic drawing-in,ISO 441,1997,en
Petroleum and natural gas industry — Pipeline transportation systems — Geological hazard risk management for onshore pipeline,ISO 20074,2019,en
Hydrogen fuel quality — Product specification,ISO 14687,2019,en
Reciprocating internal combustion engines — Measurement of sound power level using sound pressure — Part 3: Survey method for use in situ,ISO 6798-3,2022,en
Tyres — Electrical resistance — Test method for measuring electrical resistance of tyres on a test rig,ISO 16392,2017,en
Textiles — Determination of formaldehyde — Part 1: Free and hydrolysed formaldehyde (water extraction method),ISO 14184-1,2011,en
Mechanical vibration of rotating and reciprocating machinery — Requirements for instruments for measuring vibration severity,ISO 2954,2012,en
Paints and varnishes — Visual comparison of colour of paints,ISO 3668,2017,en
"Respiratory protective devices — Selection, use and maintenance — Part 4: Selection and usage guideline for respiratory protective devices under pandemic/epidemic/outbreak of infectious respiratory disease",ISO/TS 16975-4,2022,en
Road vehicles — Traffic accident analysis — Part 3: Guidelines for the interpretation of recorded crash pulse data to determine impact severity,ISO/TR 12353-3,2013,en
"Plastics — Biobased content — Part 5: Declaration of biobased carbon content, biobased synthetic polymer content and biobased mass content",ISO 16620-5,2017,en
Optics and photonics — Preparation of drawings for optical elements and systems — Part 6: Centring tolerances,ISO 10110-6,2015,en
Information technology — Software measurement — Functional size measurement — Part 5: Determination of functional domains for use with functional size measurement,ISO/IEC TR 14143-5,2004,en
"Information technology for learning, education and training — Ubiquitous learning resource organization and description framework",ISO/IEC 23126,2021,en
"Soil quality — Determination of nitrate, nitrite and ammonium in field-moist soils by extraction with potassium chloride solution — Part 2: Automated method with segmented flow analysis",ISO 14256-2,2005,en
"Dentistry — Periodontal curettes, dental scalers and excavators — Part 5: Jacquette scalers",ISO 13397-5,2015,en
Steel wire ropes — Determination of the transverse rigidity of steel wire ropes under no axial load condition,ISO 16839,2013,en
Intelligent transport systems (ITS) — Location referencing for geographic databases — Part 2: Pre-coded location references (pre-coded profile),ISO 17572-2,2018,en
Timber structures — Testing of punched metal plate fasteners and joints,ISO 8969,2011,en
Ships and marine technology — Flange connection for fuel and lubrication oil bunkering — Basic dimensions and technical requirements,ISO 23212,2021,en
"Space systems — Ground support equipment for use at launch, landing or retrieval sites — General requirements",ISO 14625,2023,en
Representation of results of particle size analysis — Part 5: Methods of calculation relating to particle size analyses using logarithmic normal probability distribution,ISO 9276-5,2005,en
"Resilient, textile and laminate floor coverings — Test method for volatile organic compound (VOC) emissions",ISO 10580,2010,en
General methods of test for pigments and extenders — Part 23: Determination of density (using a centrifuge to remove entrained air),ISO 787-23,1979,en
"Petroleum, petrochemical and natural gas industries — Prevention of corrosion on pipeline systems influenced by stray currents",ISO 21857,2021,en
Design using geosynthetics — Part 3: Filtration,ISO/TR 18228-3,2021,en
"Petroleum, petrochemical and natural gas industries — Internal coating and lining of steel storage tanks",ISO/DIS 16961,,en
Information technology — Multimedia content description interface — Part 15: Compact descriptors for video analysis,ISO/IEC 15938-15,2019,en
Railway rolling stock material — Part 4: Rolled or forged wheel centres for tyred wheels for tractive and trailing stock — Quality requirements,ISO 1005-4,1986,en
Small craft — Fire protection,ISO 9094,2022,en
Linux Standard Base (LSB) — Part 2-2: Core specification for X86-32 architecture,ISO/IEC 23360-2-2,2021,en
Petroleum and liquid petroleum products — Equipment for measurement of liquid levels in storage tanks — Manual methods,ISO 4512,2000,en
Hot-rolled twin-roll cast steel sheet of commercial quality,ISO 15177,2021,en
Butter — Determination of the refractive index of the fat (Reference method),ISO 1739,2006,en
Hacksaw blades — Part 1: Dimensions for hand blades,ISO 2336-1,1996,en
"Processes, data elements and documents in commerce, industry and administration — Long term signature profiles — Part 4: Attributes pointing to (external) proof of existence objects used in long term signature formats (PoEAttributes)",ISO 14533-4,2019,en
"Essential oils of bergamot, lemon, bitter orange and lime, fully or partially reduced in bergapten — Determination of bergapten content by high-performance liquid chromatography (HPLC)",ISO 7358,2021,en
Thermal insulation products — Determination of ageing by settlement — Part 1: Blown loose-fill insulation for ventilated attics,ISO 18393-1,2012,en
"Ergonomics — Application of ISO 11226, the ISO 11228 series and ISO/TR 12295 in the agricultural sector",ISO/TR 23476,2021,en
Ergonomics — Computer manikins and body templates — Part 1: General requirements,ISO 15536-1,2005,en
"Textile-glass-reinforced plastics — Prepregs, moulding compounds and laminates — Determination of the textile-glass and mineral-filler content — Calcination methods",ISO/DIS 1172,,en
Carbonaceous materials used in the production of aluminium — Baked anodes — Determination of the reactivity to carbon dioxide — Part 1: Loss in mass method,ISO 12988-1,2000,en
Ships and marine technology - Sound reception systems,ISO 14859,2012,en
"Paints and varnishes — Evaluation of degradation of coatings — Designation of quantity and size of defects, and of intensity of uniform changes in appearance — Part 4: Assessment of degree of cracking",ISO 4628-4,2016,en
Information and documentation — Records management processes — Metadata for records — Part 1: Principles,ISO 23081-1,2017,en
Windows and doors — Air permeability — Test method,ISO 6613,2023,en
Diesel engines — NOx reduction agent AUS 32 — Part 4: Refilling interface,ISO 22241-4,2019,en
"Security and resilience — Authenticity, integrity and trust for products and documents — Guidelines for interoperable object identification and related authentication systems to deter counterfeiting and illicit trade",ISO 22378,2022,en
"Paper, board, pulps and related terms — Vocabulary — Part 5: Properties of pulp, paper and board",ISO 4046-5,2016,en
Endoscopes - Medical endoscopes and endotherapy devices — Part 2: Particular requirements for rigid bronchoscopes,ISO 8600-2,2015,en
Microbiology of food and animal feeding stuffs — Horizontal method for the detection and enumeration of coliforms — Most probable number technique,ISO 4831,2006,en
Acoustics — Audiometric test methods — Part 2: Sound field audiometry with pure-tone and narrow-band test signals,ISO 8253-2,2009,en
Aircraft — Dimensions for single-hole and triple-hole mounting (Class 3) lever-operated manual switches,ISO 3282,1976,en
Grooved pins — Half-length taper grooved,ISO 8745,1997,en
Soil quality — Estimation of abundance of selected microbial gene sequences by quantitative PCR from DNA directly extracted from soil,ISO 17601,2016,en
"Sterile single-use intravascular introducers, dilators and guidewires",ISO 11070,2014,en
Textiles — Tests for colour fastness — Part C09: Colour fastness to domestic and commercial laundering — Oxidative bleach response using a non-phosphate reference detergent incorporating a low temperature bleach activator,ISO 105-C09,2001,en
Telemark skis and bindings — Binding mounting area — Requirements and test methods,ISO 11497,1998,en
Information technology — Document Container File — Part 1: Core,ISO/IEC 21320-1,2015,en
Preparation and quality management of fluids for haemodialysis and related therapies — Part 2: Water treatment equipment for haemodialysis applications and related therapies,ISO 23500-2,2019,en
Quality management systems — Requirements,ISO 9001,2015,en
Ships and marine technology — Marine environment protection — Specification for collecting data on ship's fuel oil consumption,ISO 23765,2021,en
Plastics — Polyetheretherketone (PEEK) moulding and extrusion materials — Part 2: Preparation of test specimens and determination of properties,ISO 23153-2,2020,en
Optics and optical instruments — Field procedures for testing geodetic and surveying instruments — Part 6: Rotating lasers,ISO 17123-6,2022,en
Smart manufacturing standards map (SM2) — Part 1: Framework,ISO/IEC TR 63306-1,2020,en
"Assembly tools for screws and nuts — Square drive sockets — Part 3: Machine-operated sockets (""non-impact"")",ISO 2725-3,2017,en
"Basic quantities in cutting and grinding — Part 1: Geometry of the active part of cutting tools — General terms, reference systems, tool and working angles, chip breakers",ISO 3002-1,1982,en
"Cold-reduced carbon steel strip with a maximum carbon content of 0,25 %",ISO 6932,2014,en
Water quality — Determination of chloride — Silver nitrate titration with chromate indicator (Mohr's method),ISO 9297,1989,en
Guidance for sampling and analysis of toxic gases and vapours in fire effluents using Fourier Transform Infrared (FTIR) spectroscopy,ISO 19702,2015,en
Worm gears — Worm profiles and gear mesh geometry,ISO/TR 10828,2015,en
Road vehicles — Objective rating metric for non-ambiguous signals,ISO/TS 18571,2014,en
Ambient air — Determination of total (gas and particle-phase) polycyclic aromatic hydrocarbons — Collection on sorbent-backed filters with gas chromatographic/mass spectrometric analyses,ISO 12884,2000,en
Systems and software engineering — Measurement process,ISO/IEC/IEEE 15939,2017,en
Crude or rectified oils of Eucalyptus globulus (Eucalyptus globulus Labill.),ISO 770,2002,en
Information technology — Icon symbols and functions for World Wide Web browser toolbars,ISO/IEC 18036,2003,en
Test conditions for machining centres — Part 10: Evaluation of thermal distortions,ISO 10791-10,2022,en
Animal feeding stuffs — Guidelines for sample preparation,ISO 6498,2012,en
Graphical symbols — Test methods — Part 1: Method for testing comprehensibility,ISO 9186-1,2014,en
"Rolling bearings — Noise testing of rolling bearing greases — Part 1: Basic principles, testing assembly and test machine",ISO 21250-1,2020,en
Machine tools safety — Presses — Part 2: Safety requirement for mechanical presses,ISO 16092-2,2019,en
Guidelines for good practices in zeta-potential measurement,ISO/TR 19997,2018,en
Road vehicles — Connections for on-board electrical wiring harnesses — Part 5: Test methods and general performance requirements for wiring harness connector operation,ISO 8092-5,2021,en
"Health informatics — Identification of medicinal products — Implementation guidelines for ISO 11239 data elements and structures for the unique identification and exchange of regulated information on pharmaceutical dose forms, units of presentation, routes of administration and packaging",ISO/TS 20440,2023,en
Single side loading fork-lift trucks — Part 2: Additional stability tests for trucks handling freight containers of 6 m length and above,ISO 13563-2,2001,en
Microscopes — Information provided to the user,ISO 12853,2015,en
ISO metric trapezoidal screw threads — General plan,ISO 2902,2016,en
"Textile glass — Chopped-strand and continuous-filament mats — Determination of average thickness, thickness under load and recovery after compression",ISO 3616,2022,en
Water quality — Determination of fluoride — Part 2: Determination of inorganically bound total fluoride after digestion and distillation,ISO 10359-2,1994,en
Sterilization of health care products — Biological and chemical indicators — Test equipment,ISO 18472,2018,en
Welding and allied processes — Symbolic representation on drawings — Welded joints,ISO 2553,2019,en
Aromatic natural raw materials — Vocabulary,ISO 9235,2021,en
Pliers and nippers — End cutting nippers — Dimensions and test values,ISO 5748,2004,en
Condition monitoring and diagnostics of machines — Data interpretation and diagnostics techniques — Part 2: Data-driven applications,ISO 13379-2,2015,en
Health and safety in welding and allied processes — Equipment for capture and separation of welding fume — Part 1: General requirements,ISO 21904-1,2020,en
Space data and information transfer systems — Space link extension — Application program interface for transfer services — Core specification,ISO 18441,2021,en
"Textile machinery and accessories — Cylindrical tubes — Part 3: Dimensions, tolerances and designation of tubes for tape yarns",ISO 3914-3,1994,en
Digital cinema (D-cinema) packaging — Part 4: MXF JPEG 2000 application,ISO 26429-4,2008,en
Recreational diving services — Requirements for the training of recreational scuba divers — Part 2: Level 2 — Autonomous diver,ISO 24801-2,2014,en
Paints and varnishes — Determination of pigment content — Part 1: Centrifuge method,ISO 14680-1,2000,en
"Textiles — Woven fabrics — Construction — Methods of analysis — Part 1: Methods for the presentation of a weave diagram and plans for drafting, denting and lifting",ISO 7211-1,1984,en
"Guidance and recommendations on design, selection and installation of vents to safeguard the structural integrity of enclosures protected by gaseous fire-extinguishing systems",ISO 21805,2023,en
Thermoplastics pipes — Determination of tensile properties — Part 3: Polyolefin pipes,ISO 6259-3,2015,en
Earth-moving machinery — Access systems,ISO 2867,2011,en
Membrane-based generation of water for injection (WFI),ISO 22519,2023,en
Graphic technology and photography — Colour characterization of digital still cameras (DSCs) — Part 5: Colour targets including saturated colours for colour characteristic evaluation test for colorimetric image capture,ISO/TR 17321-5,2021,en
Hand-held non-electric power tools — Safety requirements — Part 1: Assembly power tools for non-threaded mechanical fasteners,ISO 11148-1,2011,en
Acoustics — Acoustic classification of dwellings,ISO/TS 19488,2021,en
Language resource management — Semantic annotation framework (SemAF) — Part 2: Dialogue acts,ISO 24617-2,2020,en
Water quality — Determination of turbidity — Part 1: Quantitative methods,ISO 7027-1,2016,en
"Biological evaluation of medical devices — Part 19: Physico-chemical, morphological and topographical characterization of materials",ISO/TS 10993-19,2020,en
Health informatics — Point-of-care medical device communication — Part 90101: Analytical instruments — Point-of-care test,ISO 11073-90101,2008,en
Air cargo equipment — Unit load devices for transportation of horses,ISO 9469,1991,en
Information technology — Scalable Coherent Interface (SCI),ISO/IEC 13961,2000,en
Drop-forged rivetless chains for conveyors,ISO 6973,1986,en
Motorcycles — Engine test code — Net power,ISO 4106,2012,en
Rubber — Identification of polymers — Pyrolytic gas-chromatographic method using mass-spectrometric detection,ISO 17257,2020,en
Corrosion of metals and alloys — Classification of low corrosivity of indoor atmospheres — Part 2: Determination of corrosion attack in indoor atmospheres,ISO 11844-2,2020,en
Laboratory glassware — Beakers,ISO 3819,2015,en
Dentistry — Machinable ceramic blanks,ISO 18675,2022,en
Information technology — Protocol for providing the connectionless-mode network service — Part 2: Provision of the underlying service by an ISO/IEC 8802 subnetwork,ISO/IEC 8473-2,1996,en
Photography — Transmission and reflection densitometers — Method for determining performance,ISO 14807,2001,en
Data quality — Part 51: Data governance: Exchange of data policy statements,ISO 8000-51,2023,en
Security and resilience — Emergency management — Guidelines for monitoring facilities with identified hazards,ISO 22326,2018,en
"Aerospace — Rivets, solid, 100 degrees normal countersunk head with dome, metallic material, with or without surface treatment — Dimensions",ISO 3230,1998,en
Reclaimed rubber derived from products containing mainly natural rubber — Evaluation procedure,ISO/TS 16095,2021,en
Soil quality — Determination of selected explosives and related compounds — Part 3: Method using liquid chromatography-tandem mass spectrometry (LC-MS/MS),ISO 11916-3,2021,en
Space data and information transfer systems — Data entity dictionary specification language (DEDSL) — PVL syntax,ISO 21962,2003,en
Plastics — Plasticized cellulose acetate — Determination of matter extractable by diethyl ether,ISO 1875,1982,en
Smoke and heat control systems — Part 5: Powered smoke exhaust systems — Requirements and design,ISO 21927-5,2018,en
Pulps — Determination of fibre coarseness by automated optical analysis — Polarized light method,ISO 23713,2005,en
Iron ores — Determination of total iron content — Part 1: Titrimetric method after tin(II) chloride reduction,ISO 2597-1,2006,en
Agricultural tractor drive wheel tyres — Explanation of rolling circumference index (RCI) and speed radius index (SRI) and method of measuring tyre rolling circumference,ISO 11795,2018,en
"Earth-moving machinery — Machine productivity — Vocabulary, symbols and units",ISO 9245,1991,en
Steel and iron — Determination of manganese content — Flame atomic absorption spectrometric method,ISO 10700,1994,en
Pulps — Estimation of dirt and shives — Part 2: Inspection of mill sheeted pulp by transmitted light,ISO 5350-2,2006,en
Plastics pipes and fittings — Preparation of polyethylene (PE) pipe/pipe or pipe/fitting test piece assemblies by butt fusion,ISO 11414,2009,en
"Plain bearings — Lubrication holes, grooves and pockets — Dimensions, types, designation and their application to bearing bushes",ISO 12128,2020,en
Milk fat — Determination of peroxide value,ISO 3976,2006,en
Diesel engines — Testing of fuel injectors — Part 1: Hand-lever-operated testing and setting apparatus,ISO 8984-1,1993,en
